parm,estimate,p,p_corrected,stderr
Bot conditioning (ref = Rep.),,,,
Democrat,.1959328842733267,.0023283756468479,.0025,.0547952354045908
State (ref = NY),,,,
Texas,.0040604297362129,.780298395200075,.0025,.01432795197212
Georgia,.0181148691121593,.2988129063109593,.0025,.0169021615284131
Top account x Bot conditioning,,,,
Top account x Democrat bot,-.0641761800345898,6.05837891398e-06,.0025,.0099591502889407
Top account x Republican bot,-.0160458894449623,.1736388162147386,.0025,.0112985837980059
Partisanship x Bot conditioning,,,,
Negative partisanship x Democrat bot,.1014246588427452,.0000867675533698,.0025,.0198409913769744
Negative partisanship x Republican bot,.0160613198720134,.0737584912212925,.0025,.0084285307317354
Conditioning metrics,,,,
Proportion of negative partisanship videos,.0523266547136978,.0213024765359815,.0025,.020631270117368
Conditioning videos engagement score,-.0117734221702694,.2004857243521804,.0025,.0088397773943839
Number of conditioning videos watched,-.020646348494114,.0338795533907731,.0025,.0089477133669745
Recommendation video metrics,,,,
Number of videos watched,-.0022394686638699,.8147954630494336,.0025,.0094131309582469
Transcript availability rate,.0043040940772276,.7249338022643643,.0025,.0120310224581858
Likes per recommendation,-.0135220520969716,.1735037430154335,.0025,.0095182848294464
Comments per recommendation,.0059836844004327,.7832324630757426,.0025,.0214084548829814
Opposing comment proportion,.1375646064597847,1.67827763921e-08,.0025,.0138323899887868
Video Length,-.0187671875291475,.1110729458203725,.0025,.0111653479713635
Recommendation channel metrics,,,,
Video count,.0142727874907558,.3694863853891699,.0025,.0154821385886512
Follower count,.0304904589121785,.0865365771732927,.0025,.0167601967850854
Share count,-.0188043408385688,.2922897889244331,.0025,.0173022823037887
