state,week,leaning,video_type,proportion
GEORGIA,15,right,Neutral,0.2222222222222222
GEORGIA,15,right,Positive,0.1111111111111111
GEORGIA,16,left,Negative,0.6
GEORGIA,16,left,Neutral,0.3
GEORGIA,16,left,Positive,0.1
GEORGIA,16,right,Negative,0.575
GEORGIA,16,right,Neutral,0.3
GEORGIA,16,right,Positive,0.125
GEORGIA,17,left,Positive,0.4666666666666667
GEORGIA,17,left,Neutral,0.4
GEORGIA,17,left,Negative,0.13333333333333333
GEORGIA,17,right,Negative,0.7647058823529411
GEORGIA,17,right,Neutral,0.17647058823529413
GEORGIA,17,right,Positive,0.058823529411764705
GEORGIA,18,left,Positive,0.5
GEORGIA,18,left,Neutral,0.375
GEORGIA,18,left,Negative,0.125
GEORGIA,18,right,Negative,0.5588235294117647
GEORGIA,18,right,Neutral,0.35294117647058826
GEORGIA,18,right,Positive,0.08823529411764706
GEORGIA,19,left,Negative,0.5833333333333334
GEORGIA,19,left,Positive,0.3333333333333333
GEORGIA,19,left,Neutral,0.08333333333333333
GEORGIA,19,right,Negative,0.6590909090909091
GEORGIA,19,right,Neutral,0.29545454545454547
GEORGIA,19,right,Positive,0.045454545454545456
GEORGIA,20,left,Neutral,0.5625
GEORGIA,20,left,Negative,0.25
GEORGIA,20,left,Positive,0.1875
GEORGIA,20,right,Negative,0.6101694915254238
GEORGIA,20,right,Positive,0.22033898305084745
GEORGIA,20,right,Neutral,0.1694915254237288
GEORGIA,21,left,Negative,0.38461538461538464
GEORGIA,21,left,Neutral,0.34615384615384615
GEORGIA,21,left,Positive,0.2692307692307692
GEORGIA,21,right,Negative,0.5714285714285714
GEORGIA,21,right,Neutral,0.2857142857142857
GEORGIA,21,right,Positive,0.14285714285714285
GEORGIA,22,left,Neutral,0.4117647058823529
GEORGIA,22,left,Positive,0.4117647058823529
GEORGIA,22,left,Negative,0.17647058823529413
GEORGIA,22,right,Negative,0.5806451612903226
GEORGIA,22,right,Neutral,0.3225806451612903
GEORGIA,22,right,Positive,0.0967741935483871
GEORGIA,23,left,Neutral,0.5652173913043478
GEORGIA,23,left,Negative,0.30434782608695654
GEORGIA,23,left,Positive,0.13043478260869565
GEORGIA,23,right,Negative,0.42857142857142855
GEORGIA,23,right,Neutral,0.42857142857142855
GEORGIA,23,right,Positive,0.14285714285714285
GEORGIA,24,left,Negative,0.5217391304347826
GEORGIA,24,left,Neutral,0.30434782608695654
GEORGIA,24,left,Positive,0.17391304347826086
GEORGIA,24,right,Negative,0.59375
GEORGIA,24,right,Neutral,0.25
GEORGIA,24,right,Positive,0.15625
GEORGIA,25,left,Positive,0.391304347826087
GEORGIA,25,left,Negative,0.34782608695652173
GEORGIA,25,left,Neutral,0.2608695652173913
GEORGIA,25,right,Negative,0.4230769230769231
GEORGIA,25,right,Neutral,0.3076923076923077
GEORGIA,25,right,Positive,0.2692307692307692
GEORGIA,27,left,Positive,0.45901639344262296
GEORGIA,27,left,Negative,0.3114754098360656
GEORGIA,27,left,Neutral,0.22950819672131148
GEORGIA,27,right,Negative,0.6808510638297872
GEORGIA,27,right,Positive,0.19148936170212766
GEORGIA,27,right,Neutral,0.1276595744680851
NY,1,left,Negative,0.75
NY,1,left,Neutral,0.25
NY,1,right,Negative,0.6666666666666666
NY,1,right,Neutral,0.3333333333333333
NY,2,left,Negative,1.0
NY,2,right,Negative,0.5714285714285714
NY,2,right,Neutral,0.42857142857142855
NY,3,left,Neutral,1.0
NY,3,right,Neutral,0.4
NY,3,right,Positive,0.4
NY,3,right,Negative,0.2
NY,5,right,Positive,0.5
NY,5,right,Negative,0.3333333333333333
NY,5,right,Neutral,0.16666666666666666
NY,6,right,Neutral,0.6666666666666666
NY,6,right,Negative,0.3333333333333333
NY,7,right,Negative,0.6
NY,7,right,Neutral,0.3
NY,7,right,Positive,0.1
NY,8,right,Negative,1.0
NY,9,left,Positive,1.0
NY,9,right,Neutral,0.5384615384615384
NY,9,right,Negative,0.46153846153846156
