video_id,author_id,author_uniqueId,commentCount,diggCount,playCount,shareCount,followerCount,heartCount,videoCount,author_verified,recommendations,likes_per_recommendation,comments_per_recommendation
7360504007875464494,7088448090440680491,thecharliekirkshow,2408.0,143600.0,2300000.0,638.0,5300000.0,134700000.0,638.0,True,2299362.0,0.06245210627991591,0.001047247018955693
7360820662719548714,7082519092653999105,daterightstuff,3478.0,157000.0,2200000.0,3482.0,3400000.0,197600000.0,787.0,True,2196518.0,0.0714767645883166,0.0015834152053386314
7361000080918236458,7082519092653999105,daterightstuff,3004.0,119700.0,2200000.0,4401.0,3400000.0,197600000.0,787.0,True,2195599.0,0.054518151994057205,0.001368191550460717
7361087297640762670,7088448090440680491,thecharliekirkshow,2765.0,182800.0,1600000.0,5666.0,5300000.0,134700000.0,638.0,True,1594334.0,0.11465602565083602,0.0017342664711409279
7361894346121268526,7026375166662984710,real.benshapiro,178.0,4711.0,82900.0,95.0,2700000.0,59900000.0,1056.0,True,82805.0,0.056892699716200715,0.0021496286456131877
7362360678901927211,7334124418954200106,kamalahq,1132.0,19900.0,268700.0,2893.0,5700000.0,308900000.0,1056.0,True,265807.0,0.07486635039709262,0.004258729077864767
7362379738079530283,7082519092653999105,daterightstuff,9602.0,447800.0,3700000.0,16400.0,3400000.0,197600000.0,787.0,True,3683600.0,0.12156585948528613,0.002606689108480834
7362967280092974382,7088448090440680491,thecharliekirkshow,3320.0,78900.0,979600.0,6328.0,5300000.0,134700000.0,638.0,True,973272.0,0.08106675215150544,0.0034111738547908496
7363030764918770986,7082519092653999105,daterightstuff,5523.0,278000.0,3800000.0,17000.0,3400000.0,197600000.0,787.0,True,3783000.0,0.07348665080623844,0.0014599524187153053
7363300215597583658,252937098897305600,aaronparnas1,260.0,10100.0,164100.0,154.0,1300000.0,70100000.0,2689.0,True,163946.0,0.06160565064106474,0.001585888036304637
7363413696263015723,7088448090440680491,thecharliekirkshow,1291.0,94900.0,1100000.0,490.0,5300000.0,134700000.0,638.0,True,1099510.0,0.08631117497794472,0.0011741593982774144
7363414091165207851,6676151060140475398,colbertlateshow,4059.0,824000.0,8500000.0,160600.0,2200000.0,113300000.0,1427.0,True,8339400.0,0.09880806772669497,0.0004867256637168142
7363699553264094507,7088448090440680491,thecharliekirkshow,9443.0,662400.0,8500000.0,10200.0,5300000.0,134700000.0,638.0,True,8489800.0,0.07802303941200028,0.0011122759075596598
7363739043219246379,6765958342987170821,adamcalhoun1,66100.0,4100000.0,31800000.0,152500.0,3000000.0,36100000.0,153.0,False,31647500.0,0.12955209732206335,0.002088632593411802
7363748633130405162,7088448090440680491,thecharliekirkshow,3163.0,153500.0,1500000.0,3130.0,5300000.0,134700000.0,638.0,True,1496870.0,0.10254731539813076,0.0021130759518194634
7363802968266673451,7088448090440680491,thecharliekirkshow,5614.0,338700.0,4400000.0,4326.0,5300000.0,134700000.0,638.0,True,4395674.0,0.07705302986527209,0.0012771647760957705
7364090020451372331,7088448090440680491,thecharliekirkshow,1854.0,114500.0,1700000.0,2740.0,5300000.0,134700000.0,638.0,True,1697260.0,0.06746167352085125,0.0010923488446083689
7364140607373069611,7082519092653999105,daterightstuff,5640.0,152300.0,2400000.0,5058.0,3400000.0,197600000.0,787.0,True,2394942.0,0.06359235421985167,0.0023549630847010073
7364424563083513134,7088448090440680491,thecharliekirkshow,8213.0,191300.0,2300000.0,8352.0,5300000.0,134700000.0,638.0,True,2291648.0,0.08347704359482783,0.003583883737816628
7364431280412544302,7044304201086321670,thedemocrats,413.0,6996.0,98700.0,223.0,1400000.0,56700000.0,1286.0,True,98477.0,0.07104196919077552,0.004193872680930573
7364591768744037674,7082519092653999105,daterightstuff,3310.0,191700.0,1800000.0,12400.0,3400000.0,197600000.0,787.0,True,1787600.0,0.10723875587379728,0.0018516446632356233
7364854903870999854,54068006569377792,msnbc,2380.0,47600.0,731000.0,1296.0,4100000.0,265900000.0,4302.0,True,729704.0,0.06523192965914947,0.0032615964829574733
7364859678968319274,252937098897305600,aaronparnas1,2492.0,36800.0,424200.0,1330.0,1300000.0,70100000.0,2689.0,True,422870.0,0.0870243810154421,0.005893064062241351
7365146834215472427,126834078636527616,patrickbetdavid,4475.0,312500.0,3300000.0,16700.0,1300000.0,27500000.0,3421.0,True,3283300.0,0.09517863125513965,0.0013629579995735998
7365215234585382186,7026375166662984710,real.benshapiro,1177.0,95700.0,1300000.0,8269.0,2700000.0,59900000.0,1056.0,True,1291731.0,0.07408663258836398,0.0009111804237879249
7365245330847288619,7334124418954200106,kamalahq,880.0,223500.0,1300000.0,10600.0,5700000.0,308900000.0,1056.0,True,1289400.0,0.17333643555141925,0.000682487978904917
7365268454565383470,7044304201086321670,thedemocrats,344.0,9636.0,127400.0,1022.0,1400000.0,56700000.0,1286.0,True,126378.0,0.07624744813179508,0.002721992751903021
7365605952042798382,252937098897305600,aaronparnas1,1111.0,19200.0,230800.0,565.0,1300000.0,70100000.0,2689.0,True,230235.0,0.08339305492214477,0.004825504375963689
7365613951696260398,7082519092653999105,daterightstuff,5586.0,265300.0,3400000.0,10500.0,3400000.0,197600000.0,787.0,True,3389500.0,0.07827113143531494,0.0016480306829915916
7365987044469787946,7082519092653999105,daterightstuff,2268.0,220500.0,2800000.0,5170.0,3400000.0,197600000.0,787.0,True,2794830.0,0.0788956752289048,0.0008114983737830208
7367572046705921326,7082519092653999105,daterightstuff,4065.0,108800.0,1100000.0,9837.0,3400000.0,197600000.0,787.0,True,1090163.0,0.0998015893036179,0.0037288001885956504
7367573791762877738,7082519092653999105,daterightstuff,782.0,35000.0,540100.0,1094.0,3400000.0,197600000.0,787.0,True,539006.0,0.06493434210379848,0.001450818729290583
7367813288761036074,7082519092653999105,daterightstuff,7118.0,220700.0,2600000.0,27400.0,3400000.0,197600000.0,787.0,True,2572600.0,0.08578869626059239,0.0027668506569229574
7368252503374236971,7088448090440680491,thecharliekirkshow,2672.0,220600.0,2900000.0,2204.0,5300000.0,134700000.0,638.0,True,2897796.0,0.07612682190188681,0.0009220800912141503
7368536661849853227,6662885292129206277,bernie,102.0,4188.0,41600.0,175.0,1600000.0,14400000.0,331.0,True,41425.0,0.10109837054918527,0.0024622812311406155
7368588285670722858,7088448090440680491,thecharliekirkshow,10700.0,354200.0,5300000.0,10800.0,5300000.0,134700000.0,638.0,True,5289200.0,0.06696664902064585,0.0020229902442713455
